Date,Step Count,Distance (km),Calories Burned
2019-10-21,4764,2291.79275,0.0
2019-10-22,6052,2869.7590900000005,0.0
2019-10-23,3126,1509.71622,0.881647
2019-10-24,21480,9901.167248,7298.04
2019-10-25,10592,4957.141276000001,4043.67
2019-10-26,20750,9376.245737000003,5674.66
2019-10-27,7639,3296.53317,140.83
2019-10-28,13222,6524.522058999998,5747.42
2019-10-29,12699,5988.405490000001,4126.67
2019-10-30,15273,7349.969510000001,5188.099999999999
2019-10-31,16504,7706.4248450000005,6349.629999999999
2019-11-01,8221,3803.280627,3000.92
2019-11-02,20328,8965.149679999999,3722.11
2019-11-03,13666,6091.22083,3519.33
2019-11-04,12972,5953.023197000001,6130.52
2019-11-05,15764,7445.065689999997,4008.82
2019-11-06,12217,9746.427538,4946.25
2019-11-07,23719,10660.270616000007,7484.11
2019-11-08,20510,9836.940098,6355.320000000001
2019-11-09,5585,2499.149755000001,184.12
2019-11-10,15435,6812.141670000001,2909.8399999999997
2019-11-11,13383,6314.841415000002,5487.3
2019-11-12,12129,7538.110320000002,3357.9300000000003
2019-11-13,20996,9729.761329999996,7420.320000000001
2019-11-14,16028,7337.538081000001,6469.539999999999
2019-11-15,6428,2972.9738459999985,2811.0899999999997
2019-11-16,12326,5468.712326000002,1992.21
2019-11-17,11067,5208.151215000002,4878.58
2019-11-18,11357,5189.640502999998,4817.25
2019-11-19,6569,3036.12003,2590.76
2019-11-20,8124,3755.4015419999987,3413.86
2019-11-21,15823,7277.68646,6904.83
2019-11-22,8726,4209.150767,3717.12
2019-11-23,8742,3716.736389999999,102.16
2019-11-24,11840,5301.162599999999,2984.5499999999997
2019-11-25,17594,8320.675550000004,6416.69
2019-11-26,8715,4106.927065,3362.79
2019-11-27,9408,4260.2685999999985,3623.37
2019-11-28,9912,4685.531451,4751.530000000001
2019-11-29,23939,11029.878501000003,5888.630000000001
2019-11-30,13475,5712.642884,3.37
2019-12-01,8647,3912.5322000000006,3240.17
2019-12-02,9044,4243.697659999999,3166.35
2019-12-03,7763,3632.999820000001,2538.74
2019-12-04,16482,7582.310256000001,6545.700000000001
2019-12-05,13205,6170.838935999997,6117.88
2019-12-06,11710,5360.711450000001,3740.02
2019-12-07,7912,3455.7001500000006,22.75
2019-12-08,7915,3620.6267499999994,3337.01
2019-12-09,12018,5625.208163000003,5616.130000000001
2019-12-10,4427,2206.6129200000005,21.31
2019-12-11,8097,3673.625989999999,2343.8
2019-12-12,19440,9101.79407,7772.34
2019-12-13,17741,8642.341061000001,7986.38
2019-12-14,8370,3759.4240499999996,1711.0900000000001
2019-12-15,11195,8308.68844,4638.18
2019-12-16,11002,5359.722376,5203.51
2019-12-17,15454,7261.556780999998,6373.13
2019-12-18,4996,2360.91419,61.900000000000006
2019-12-19,17254,8806.12681,7436.69
2019-12-20,9986,4667.407626,3481.87
2019-12-21,7602,3559.124621000002,3917.61
2019-12-22,5972,2682.1487599999996,2363.48
2019-12-23,15472,6934.8752700000005,3963.37
2019-12-24,3387,1590.6059930000004,1786.71
2019-12-25,2450,1119.7682499999999,0.0
2019-12-26,516,244.81938000000002,0.0
2019-12-27,1135,524.4801500000001,0.0
2019-12-28,1068,479.12595,0.0
2019-12-29,6741,3031.4380910000014,2345.32
2019-12-30,3620,1672.0258,1028.29
2019-12-31,7146,3256.958720000001,3596.7700000000004
2020-01-01,3893,1767.139423,2433.71
2020-01-02,16229,7508.15193,6584.43
2020-01-03,10471,4920.4939,4167.46
2020-01-04,8435,3842.70317,2270.07
2020-01-05,8012,3636.0447199999994,2527.21
2020-01-06,12320,5789.766092999997,5955.73
2020-01-07,11589,5295.5541159999975,5119.52
2020-01-08,9577,4411.43746,4006.73
2020-01-09,17106,7896.67992,6685.33
2020-01-10,7882,3599.8948409999966,4392.35
2020-01-11,5362,2503.0395110000004,2316.95
2020-01-12,5669,2612.9639200000006,2397.18
2020-01-13,5138,2289.5171000000005,22.1
2020-01-14,7445,3415.116133000001,3184.8700000000003
2020-01-15,4134,1944.8803900000003,0.0
2020-01-16,3735,1779.1533100000001,0.0
2020-01-17,5484,2608.8287900000005,0.0
2020-01-18,2361,1094.23329,871.72
2020-01-19,1883,805.77789,38.15
2020-01-20,2389,1045.8903139999998,77.85
