Date,Step-Count,Distance (m),Calories-Burned-(calx10)
2023-02-27,5980,2792.590262,4602.91
2023-02-28,5072,2390.681782,4397.78
2023-03-01,2619,1242.408294,2568.77
2023-03-02,5149,2445.711291,5323.04
2023-03-03,3976,1940.267655,4013.52
2023-03-04,7781,3650.822327,6554.44
2023-03-05,6056,2909.336135,3625.17
2023-03-06,562,270.84945,527.24
2023-03-07,2253,1081.896192,1630.51
2023-03-08,2488,1176.089627,2588.42
2023-03-09,3585,1687.819249,2934.27
2023-03-10,49029,22062.238173,5429.09
2023-03-11,8108,3596.964485,3843.1
2023-03-12,18555,8550.758965,5879.87
2023-03-13,10506,5205.458825,5407.02
2023-03-14,6231,2660.809899,2057.1
2023-03-15,10213,4586.754212,3562.94
2023-03-16,9970,4560.114423,4368.87
2023-03-17,9336,4230.256469,5013.65
2023-03-18,11661,5233.437655,3039.27
2023-03-19,8428,3868.225138,5251.3
2023-03-20,10963,5026.043187,5102.28
2023-03-21,10343,4804.193457,5603.14
2023-03-22,8785,4064.796326,5124.72
2023-03-23,12571,5724.881207,6164.41
2023-03-24,13454,6059.244357,6260.28
2023-03-25,5036,2261.13831,2459.28
2023-03-26,9232,4353.111173,5451.64
2023-03-27,10264,4989.899579,5269.22
2023-03-28,7709,3511.823354,3871.74
2023-03-29,6596,2985.4314,2780.31
2023-03-30,12915,6211.3767836,6728.29
2023-03-31,7671,3458.43163,3773.05
2023-04-01,16813,7508.555257,7413
2023-04-02,3509,1527.19844,1781.34
2023-04-03,8634,3953.923575,4791.07
2023-04-04,6858,3126.657462,2626.54
2023-04-05,7396,3401.957677,4418.41
2023-04-06,8955,4134.339207,3896.07
2023-04-07,17680,8295.09783600001,7126.27
2023-04-08,14532,6866.923828,7740.02
2023-04-09,10740,4805.753585,5957.65
2023-04-10,9340,4339.425544,3932.34
2023-04-11,7592,3641.027519,4187.7
2023-04-12,8863,4162.314104,4833.15
2023-04-13,12596,6044.442773,5391.07
2023-04-14,4859,2100.83346,0
2023-04-15,5371,2279.73485,0
2023-04-16,3162,1367.662,378.78
2023-04-17,5098,2360.12755096,3113.81
2023-04-18,6927,3122.144923,2639.41
2023-04-19,6158,2927.908234,3860.31
2023-04-20,5176,2450.113286,3847.7
2023-04-21,9076,4250.463013,5133.17
2023-04-22,11016,4999.1142,3639.25
2023-04-23,5097,2142.6562151,2261.88
2023-04-24,5824,2644.906359,3742.32
2023-04-25,2476,1103.79078,1376.96
2023-04-26,17084,9722.339724,5079.46
2023-04-27,4195,1908.40871,2320.65
2023-04-28,9882,4519.468188,5279.12
2023-04-29,1527,713.968807,1775.98
2023-04-30,6529,3020.89661,3060.27
2023-05-01,4118,1837.777945,1274.21
2023-05-02,2643,1146.397895,27.7304
2023-05-03,8404,3809.769032,5467.9
2023-05-04,14584,6663.357281,6301.78
2023-05-05,6263,2808.609606,3961.31
2023-05-06,7369,3601.937326,3053.75
2023-05-07,4835,2169.093106,3378.97
2023-05-08,5102,2207.17777,811.74
2023-05-09,11276,5217.161292,4521.61
2023-05-10,12203,5608.636624,6000.7
2023-05-11,7804,3553.221957,3884.81
2023-05-12,8685,3725.57529,0
2023-05-13,18597,8009.57575,0
2023-05-14,4126,1803.73676,0
2023-05-15,4451,1848.629688,0
2023-05-16,7002,3144.91353,0
2023-05-17,8747,4076.549809,3856.93
2023-05-18,8213,3796.815454,3793.76
2023-05-19,18922,8884.694593,6787.89
2023-05-20,5739,2568.931034,3229.6
